Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
Cristiano Ronaldo,Real Madrid CF,32,Spanish Primera Division,185,Normal,95500000,94,High
L. Messi,FC Barcelona,30,Spanish Primera Division,170,Lean,105000000,93,Medium
L. Suárez,FC Barcelona,30,Spanish Primera Division,182,Normal,97000000,92,High
M. Neuer,FC Bayern Munich,31,German Bundesliga,193,Normal,61000000,92,Medium
R. Lewandowski,FC Bayern Munich,28,German Bundesliga,185,Normal,92000000,91,High
De Gea,Manchester United,26,English Premier League,193,Lean,64500000,90,Medium
E. Hazard,Chelsea,26,English Premier League,173,Normal,90500000,90,High
T. Kroos,Real Madrid CF,27,Spanish Primera Division,182,Normal,79000000,90,Medium
Sergio Ramos,Real Madrid CF,31,Spanish Primera Division,183,Normal,52000000,90,High
K. De Bruyne,Manchester City,26,English Premier League,181,Normal,83000000,89,High
T. Courtois,Chelsea,25,English Premier League,199,Normal,59000000,89,Medium
A. Sánchez,Arsenal,28,English Premier League,169,Normal,67500000,89,High
L. Modric,Real Madrid CF,31,Spanish Primera Division,174,Lean,57000000,89,High
G. Bale,Real Madrid CF,27,Spanish Primera Division,183,Lean,69500000,89,High
S. Agüero,Manchester City,29,English Premier League,173,Normal,66500000,89,High
J. Oblak,Atlético Madrid,24,Spanish Primera Division,189,Normal,57000000,88,Medium
A. Griezmann,Atlético Madrid,26,Spanish Primera Division,174,Lean,75000000,88,High
Thiago,FC Bayern Munich,26,German Bundesliga,174,Normal,70500000,88,Medium
P. Aubameyang,Borussia Dortmund,28,German Bundesliga,187,Lean,61000000,88,Medium
J. Boateng,FC Bayern Munich,28,German Bundesliga,192,Stocky,48000000,88,Medium
D. Godín,Atlético Madrid,31,Spanish Primera Division,186,Lean,40000000,88,Medium
M. Hummels,FC Bayern Munich,28,German Bundesliga,191,Normal,48000000,88,High
M. Özil,Arsenal,28,English Premier League,180,Lean,60000000,88,Medium
H. Lloris,Tottenham Hotspur,30,English Premier League,188,Lean,38000000,88,Medium
Z. Ibrahimovic,Manchester United,35,English Premier League,195,Normal,27000000,88,Medium
A. Robben,FC Bayern Munich,33,German Bundesliga,180,Normal,36000000,88,High
N. Kanté,Chelsea,26,English Premier League,168,Normal,52500000,87,Medium
P. Pogba,Manchester United,24,English Premier League,191,Lean,66500000,87,High
C. Eriksen,Tottenham Hotspur,25,English Premier League,182,Normal,65000000,87,High
A. Vidal,FC Bayern Munich,30,German Bundesliga,180,Normal,37500000,87,High
