Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
NSX,55,3.5,6,9,Auto(AM-S9),21,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
4C,401,1.8,4,6,Auto(AM6),28,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Vantage V8,4,4,8,8,Auto(S8),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
R8,1,5.2,10,7,Auto(AM-S7),16,Naturally Aspirated,N,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
R8 Spyder,6,5.2,10,7,Auto(AM-S7),16,Naturally Aspirated,N,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
TT Roadster quattro,15,2,4,7,Auto(AM-S7),26,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Z4 M40i,352,3,6,8,Auto(S8),26,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Z4 sDrive30i,350,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Chiron,28,8,16,7,Auto(AM-S7),11,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
Divo,76,8,16,7,Auto(AM-S7),10,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
CORVETTE,116,6.2,8,8,Auto(S8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Spark Ignition Direct Injection
488 Pista,147,3.9,8,7,Auto(AM7),17,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
488 Pista Spider,149,3.9,8,7,Auto(AM7),17,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
812 Superfast,154,6.5,12,7,Auto(AM7),13,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
F8 Tributo,159,3.9,8,7,Auto(AM7),16,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
124 Spider,404,1.4,4,6,Auto(A6),29,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
124 Spider,405,1.4,4,6,Manual(M6),30,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
FORD GT,239,3.5,6,7,Auto(AM7),14,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
F-TYPE AWD Convertible,177,5,8,8,Auto(S8),18,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE AWD Coupe,176,5,8,8,Auto(S8),18,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE Convertible,185,2,4,8,Auto(S8),26,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE Convertible,161,3,6,8,Auto(S8),23,Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE Coupe,184,2,4,8,Auto(S8),26,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE Coupe,160,3,6,8,Auto(S8),23,Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE S AWD Convertible,165,3,6,8,Auto(S8),21,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE S AWD Coupe,164,3,6,8,Auto(S8),21,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE S Convertible,163,3,6,8,Auto(S8),22,Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE S Coupe,162,3,6,8,Auto(S8),22,Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE SVR AWD Convertible,175,5,8,8,Auto(S8),18,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
F-TYPE SVR AWD Coupe,174,5,8,8,Auto(S8),18,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Aventador Coupe,30,6.5,12,7,Auto(AM-S7),11,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
Aventador Roadster,31,6.5,12,7,Auto(AM-S7),11,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
Huracan,2,5.2,10,7,Auto(AM-S7),15,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
Huracan 2WD,4,5.2,10,7,Auto(AM-S7),15,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
